# Game Metadata
id,1
timestamp,2025-12-30T19:46:10
whitePlayer,AI
blackPlayer,AI
result,1/2-1/2
totalMoves,122
duration,61.8302

# Move History
turn,player,fromX,fromY,toX,toY,pieceMoved,pieceCaptured,score
1,w,2,9,3,6,wCa,---,6.08
2,b,2,0,3,3,bCa,---,5.33
3,w,7,7,7,6,wpG,---,5.255
4,b,3,3,6,4,bCa,---,7.22501
5,w,5,7,5,6,wpK,---,4.86501
6,b,6,2,6,3,bpA,---,5.975
7,w,8,8,4,4,wTa,---,5.885
8,b,5,2,5,3,bpK,---,6.04
9,w,4,4,6,6,wTa,---,3.415
10,b,5,1,5,2,bKa,---,4.76001
11,w,3,6,6,5,wCa,---,4.92001
12,b,5,2,6,2,bKa,---,5.30999
13,w,1,8,2,6,wMo,---,3.70001
14,b,4,2,4,3,bpV,---,4.7
15,w,2,6,4,5,wMo,---,4.60502
16,b,3,2,3,3,bpG,---,9.245
17,w,3,7,3,6,wpE,---,4.92501
18,b,6,4,3,5,bCa,---,8.72
19,w,6,6,8,4,wTa,---,3.57
20,b,7,2,7,3,bpE,---,6.87
21,w,8,4,5,7,wTa,---,3.65
22,b,3,5,2,8,bCa,wTa,7.09
23,w,0,8,2,8,wRk,bCa,6.125
24,b,1,1,3,2,bMo,---,9.2
25,w,9,8,8,6,wMo,---,6.27
26,b,3,2,4,4,bMo,---,8.4
27,w,8,6,7,4,wMo,---,2.645
28,b,6,3,7,4,bpA,wMo,5.95
29,w,4,5,5,3,wMo,bpK,-1.08999
30,b,6,2,5,3,bKa,wMo,-0.859989
31,w,5,7,7,5,wTa,---,-3.64499
32,b,7,1,6,4,bGi,---,-3.27499
33,w,6,5,7,2,wCa,---,-7.755
34,b,9,1,7,2,bMo,wCa,-6.98499
35,w,6,8,5,7,wVi,---,-10.01
36,b,7,2,8,4,bMo,---,-7.69999
37,w,3,6,3,5,wpE,---,-11.285
38,b,4,4,6,3,bMo,---,-6.63001
39,w,8,9,9,6,wCa,---,-9.585
40,b,6,3,7,5,bMo,wTa,-9.435
41,w,2,7,2,6,wpC,---,-12.445
42,b,8,1,5,4,bTa,---,-10.73
43,w,9,6,6,5,wCa,---,-14.905
44,b,7,4,6,5,bpA,wCa,-10.945
45,w,7,6,6,5,wpG,bpA,-16.795
46,b,7,5,5,6,bMo,wpK,-10.065
47,w,4,7,5,6,wpA,bMo,-14.025
48,b,5,4,3,6,bTa,---,-10.125
49,w,4,9,4,7,wWe,---,-14.095
50,b,7,3,7,4,bpE,---,-10.295
51,w,6,5,7,4,wpG,bpE,-12.575
52,b,5,3,4,2,bKa,---,-10.755
53,w,0,9,2,7,wEl,---,-12.105
54,b,4,2,3,2,bKa,---,-10.655
55,w,2,7,4,5,wEl,---,-10.49
56,b,2,2,2,3,bpT,---,-9.01001
57,w,5,8,6,8,wKa,---,-10.73
58,b,0,0,2,2,bEl,---,-9.28
59,w,2,6,2,5,wpC,---,-11.06
60,b,4,0,4,2,bWe,---,-9.43
61,w,2,8,2,6,wRk,---,-10.91
62,b,3,6,1,8,bTa,---,-7.54499
63,w,2,6,2,7,wRk,---,-9.91
64,b,0,1,0,0,bRk,---,-7.71
65,w,2,5,2,4,wpC,---,-9.88
66,b,4,1,5,0,bVi,---,-6.76
67,w,2,4,3,3,wpC,bpG,-4.82
68,b,2,2,4,4,bEl,---,-0.760001
69,w,3,3,4,2,wpC,bWe,-4.38
70,b,3,2,4,2,bKa,wpC,-0.030005
71,w,3,5,4,4,wpE,bEl,-1.66
72,b,5,0,4,1,bVi,---,2
73,w,10,7,10,6,wpR,---,-1.95001
74,b,0,0,5,0,bRk,---,1.4
75,w,2,7,3,7,wRk,---,-4.91
76,b,1,8,4,5,bTa,wEl,0.749992
77,w,4,7,4,5,wWe,bTa,-4.8
78,b,5,0,5,5,bRk,---,2.74
79,w,3,8,2,3,wGi,bpT,-4.185
80,b,1,2,2,3,bpM,wGi,-0.295001
81,w,4,8,4,7,wAd,---,-7.445
82,b,3,1,0,0,bGi,---,-0.780003
83,w,1,7,1,6,wpW,---,-7.095
84,b,2,1,0,3,bTa,---,-0.835005
85,w,4,5,4,3,wWe,bpV,-6.155
86,b,4,2,4,3,bKa,wWe,-5.835
87,w,3,7,3,3,wRk,---,-7.38501
88,b,4,3,4,4,bKa,wpE,-7.28501
89,w,3,3,3,7,wRk,---,-13.545
90,b,0,0,1,3,bGi,---,-9.575
91,w,4,7,4,6,wAd,---,-13.405
92,b,4,4,4,3,bKa,---,-10.185
93,w,0,7,0,6,wp0,---,-12.945
94,b,1,3,4,4,bGi,---,-11.125
95,w,3,7,2,7,wRk,---,-17.365
96,b,4,4,3,9,bGi,---,-11.865
97,w,5,7,4,8,wVi,---,-15.335
98,b,2,3,2,4,bpM,---,-7.665
99,w,4,8,3,9,wVi,bGi,-11.135
100,b,0,3,6,9,bTa,wWe,-7.175
101,w,6,8,6,9,wKa,bTa,-10.56
102,b,6,1,6,2,bAd,---,-4.57
103,w,2,7,2,4,wRk,bpM,-7.54
104,b,6,4,7,7,bGi,---,-2.22
105,w,2,4,2,3,wRk,---,-2.5
106,b,4,3,4,2,bKa,---,-1.11
107,w,2,3,2,2,wRk,---,-3.62
108,b,4,2,3,3,bKa,---,-2.36
109,w,6,9,6,8,wKa,---,-8.58
110,b,7,7,10,8,bGi,wRk,-5.82
111,w,2,2,0,2,wRk,bpR,-12.1
112,b,8,2,8,3,bpC,---,-4.1
113,w,0,2,0,3,wRk,---,-5.94
114,b,3,3,4,4,bKa,---,-4.59
115,w,0,3,0,4,wRk,---,-6.66
116,b,4,4,4,3,bKa,---,-4.88
117,w,0,4,0,3,wRk,---,-5.94
118,b,4,3,4,4,bKa,---,-4.59
119,w,0,3,0,4,wRk,---,-6.66
120,b,4,4,4,3,bKa,---,-4.88
121,w,0,4,0,3,wRk,---,-5.94
122,b,4,3,4,4,bKa,---,-4.59
