# Game Metadata
id,2
timestamp,2025-12-30T19:47:36
whitePlayer,AI
blackPlayer,AI
result,0-1
totalMoves,124
duration,62.8079

# Move History
turn,player,fromX,fromY,toX,toY,pieceMoved,pieceCaptured,score
1,w,2,9,3,6,wCa,---,6.08
2,b,2,0,3,3,bCa,---,5.33
3,w,7,7,7,6,wpG,---,5.255
4,b,3,3,6,4,bCa,---,7.22501
5,w,5,7,5,6,wpK,---,4.86501
6,b,6,2,6,3,bpA,---,5.975
7,w,8,8,4,4,wTa,---,5.885
8,b,5,2,5,3,bpK,---,6.04
9,w,4,4,6,6,wTa,---,3.415
10,b,5,1,5,2,bKa,---,4.76001
11,w,3,6,6,5,wCa,---,4.92001
12,b,5,2,6,2,bKa,---,5.30999
13,w,1,8,2,6,wMo,---,3.70001
14,b,4,2,4,3,bpV,---,4.7
15,w,2,6,4,5,wMo,---,4.60502
16,b,3,2,3,3,bpG,---,9.245
17,w,3,7,3,6,wpE,---,4.92501
18,b,6,4,3,5,bCa,---,8.72
19,w,6,6,8,4,wTa,---,3.57
20,b,7,2,7,3,bpE,---,6.87
21,w,8,4,5,7,wTa,---,3.65
22,b,3,5,2,8,bCa,wTa,7.09
23,w,0,8,2,8,wRk,bCa,6.125
24,b,1,1,3,2,bMo,---,9.2
25,w,9,8,8,6,wMo,---,6.27
26,b,3,2,4,4,bMo,---,8.4
27,w,8,6,7,4,wMo,---,2.645
28,b,6,3,7,4,bpA,wMo,5.95
29,w,4,5,5,3,wMo,bpK,-1.08999
30,b,6,2,5,3,bKa,wMo,-0.859989
31,w,5,7,7,5,wTa,---,-3.64499
32,b,7,1,6,4,bGi,---,-3.27499
33,w,6,5,7,2,wCa,---,-7.755
34,b,9,1,7,2,bMo,wCa,-6.98499
35,w,6,8,5,7,wVi,---,-10.01
36,b,7,2,8,4,bMo,---,-7.69999
37,w,3,6,3,5,wpE,---,-11.285
38,b,4,4,6,3,bMo,---,-6.63001
39,w,8,9,9,6,wCa,---,-9.585
40,b,6,3,7,5,bMo,wTa,-9.435
41,w,2,7,2,6,wpC,---,-12.445
42,b,8,1,5,4,bTa,---,-10.73
43,w,9,6,6,5,wCa,---,-14.905
44,b,7,4,6,5,bpA,wCa,-10.945
45,w,7,6,6,5,wpG,bpA,-16.795
46,b,7,5,5,6,bMo,wpK,-10.065
47,w,4,7,5,6,wpA,bMo,-14.025
48,b,5,4,3,6,bTa,---,-10.125
49,w,4,8,4,7,wAd,---,-14.095
50,b,7,3,7,4,bpE,---,-10.425
51,w,6,5,7,4,wpG,bpE,-12.575
52,b,5,3,4,2,bKa,---,-10.885
53,w,0,9,2,7,wEl,---,-12.235
54,b,4,2,3,2,bKa,---,-11.175
55,w,2,7,4,5,wEl,---,-10.49
56,b,2,2,2,3,bpT,---,-9.4
57,w,5,8,6,8,wKa,---,-10.81
58,b,0,0,2,2,bEl,---,-9.83
59,w,2,6,2,5,wpC,---,-11.14
60,b,0,2,0,3,bpR,---,-9.61
61,w,2,5,2,4,wpC,---,-10.825
62,b,3,3,3,4,bpG,---,-8.545
63,w,3,8,2,5,wGi,---,-11.16
64,b,3,4,2,5,bpG,wGi,-10.01
65,w,2,8,2,5,wRk,bpG,-11.49
66,b,4,0,4,2,bWe,---,-10.06
67,w,10,7,10,6,wpR,---,-11.44
68,b,0,1,0,0,bRk,---,-10.27
69,w,8,7,8,6,wpT,---,-11.53
70,b,0,0,5,0,bRk,---,-10.87
71,w,10,9,8,7,wEl,---,-14.97
72,b,5,0,5,5,bRk,---,-12.01
73,w,8,7,6,5,wEl,---,-14.6
74,b,8,4,6,5,bMo,wEl,-9.58001
75,w,5,6,6,5,wpA,bMo,-13.5
76,b,5,5,4,5,bRk,wEl,-12.7
77,w,4,7,3,7,wAd,---,-16.485
78,b,4,5,6,5,bRk,wpA,-11.16
79,w,3,7,3,6,wAd,bTa,-18.08
80,b,6,5,5,5,bRk,---,-10.43
81,w,4,9,4,7,wWe,---,-13.85
82,b,5,5,5,7,bRk,wVi,-13.4
83,w,6,8,7,9,wKa,---,-18.2
84,b,5,7,4,7,bRk,wWe,-17.48
85,w,6,7,6,6,wpV,---,-19.51
86,b,0,3,0,4,bpR,---,-18.43
87,w,2,5,2,8,wRk,---,-19.08
88,b,4,7,9,7,bRk,wpM,-18.15
89,w,2,8,4,8,wRk,---,-20.02
90,b,9,7,9,9,bRk,---,-16.9
91,w,7,9,8,8,wKa,---,-20.7
92,b,9,9,6,9,bRk,wWe,-15.36
93,w,8,8,9,7,wKa,---,-21.43
94,b,6,9,6,7,bRk,---,-20.62
95,w,9,7,9,6,wKa,---,-23.1
96,b,2,2,4,4,bEl,---,-17.43
97,w,3,5,4,4,wpE,bEl,-23.15
98,b,6,7,6,6,bRk,wpV,-20.2
99,w,9,6,9,7,wKa,---,-23.96
100,b,6,6,6,7,bRk,---,-22.28
101,w,9,7,9,6,wKa,---,-26.2
102,b,10,1,7,1,bRk,---,-21.58
103,w,4,8,4,5,wRk,---,-23.8
104,b,7,1,7,4,bRk,wpG,-21.88
105,w,7,8,4,9,wGi,---,-25.35
106,b,4,2,4,4,bWe,wpE,-22.73
107,w,4,5,4,4,wRk,bWe,-24.48
108,b,7,4,9,4,bRk,---,-23.06
109,w,9,6,8,5,wKa,---,-23.62
110,b,9,4,8,4,bRk,---,-16.7
111,w,8,5,8,4,wKa,bRk,-17.25
112,b,9,2,9,3,bpW,---,-15.23
113,w,8,4,7,5,wKa,---,-14.95
114,b,3,1,6,2,bGi,---,-16.75
115,w,7,5,8,5,wKa,---,-16.85
116,b,9,3,9,4,bpW,---,-15.72
117,w,8,5,9,4,wKa,bpW,-16.27
118,b,10,2,10,3,bp0,---,-15.66
119,w,9,4,8,5,wKa,---,-15.78
120,b,6,7,6,5,bRk,---,-14.58
121,w,8,5,9,6,wKa,---,-12.79
122,b,6,2,10,1,bGi,---,-13.75
123,w,9,6,10,7,wKa,---,-13.1
124,b,6,5,6,7,bRk,---,-inf
