# Game Metadata
id,70
timestamp,2025-12-30T21:09:57
whitePlayer,Human
blackPlayer,AI
result,1-0
totalMoves,77
duration,135.851

# Move History
turn,player,fromX,fromY,toX,toY,pieceMoved,pieceCaptured,score
1,w,7,7,7,6,wpG,---,7.98499
2,b,5,2,5,3,bpK,---,0
3,w,5,8,5,9,wKa,---,7.04
4,b,5,1,5,2,bKa,---,0
5,w,8,9,5,8,wCa,---,10.655
6,b,5,2,6,3,bKa,---,0
7,w,2,9,3,6,wCa,---,8.97
8,b,6,3,6,4,bKa,---,0
9,w,1,8,2,6,wMo,---,10.095
10,b,5,3,5,4,bpK,---,0
11,w,2,6,3,4,wMo,---,9.885
12,b,4,1,5,2,bVi,---,0
13,w,9,8,7,7,wMo,---,12.165
14,b,5,2,4,3,bVi,---,0
15,w,3,4,4,6,wMo,---,10.34
16,b,4,3,3,4,bVi,---,0
17,w,7,7,5,6,wMo,---,14.215
18,b,6,4,5,3,bKa,---,0
19,w,4,6,3,4,wMo,bVi,14.035
20,b,5,3,6,3,bKa,---,0
21,w,5,6,7,5,wMo,---,15.71
22,b,6,3,6,4,bKa,---,0
23,w,8,7,8,6,wpT,---,16.625
24,b,6,1,5,1,bAd,---,0
25,w,0,7,0,6,wp0,---,16.965
26,b,5,1,5,2,bAd,---,0
27,w,8,8,5,5,wTa,---,16.86
28,b,5,2,5,3,bAd,---,0
29,w,5,8,6,5,wCa,---,14.94
30,b,6,4,7,4,bKa,---,0
31,w,6,5,9,4,wCa,---,20.075
32,b,7,4,8,4,bKa,---,0
33,w,5,9,5,8,wKa,---,22.18
34,b,6,2,6,3,bpA,---,0
35,w,9,4,10,1,wCa,bRk,20.23
36,b,6,3,6,4,bpA,---,0
37,w,10,9,8,7,wEl,---,19.86
38,b,6,4,5,5,bpA,wTa,0
39,w,8,7,10,5,wEl,---,19.715
40,b,7,1,6,4,bGi,---,0
41,w,3,4,5,5,wMo,bpA,19.9
42,b,0,2,0,3,bpR,---,0
43,w,10,1,9,4,wCa,---,21.78
44,b,0,3,0,4,bpR,---,0
45,w,10,8,8,8,wRk,---,22.52
46,b,0,4,0,5,bpR,---,0
47,w,9,4,8,1,wCa,bTa,22.18
48,b,0,1,0,4,bRk,---,0
49,w,8,1,5,0,wCa,---,22.94
50,b,0,4,4,4,bRk,---,0
51,w,7,5,5,6,wMo,---,25.02
52,b,4,4,4,5,bRk,---,0
53,w,5,6,6,4,wMo,bGi,24.33
54,b,4,5,4,3,bRk,---,0
55,w,5,0,2,1,wCa,bTa,32.4
56,b,4,3,4,7,bRk,wpA,0
57,w,7,6,7,5,wpG,---,30.32
58,b,8,4,7,3,bKa,---,0
59,w,4,9,4,7,wWe,bRk,32.79
60,b,7,3,6,2,bKa,---,0
61,w,2,1,3,4,wCa,---,33.33
62,b,5,3,4,3,bAd,---,0
63,w,3,4,4,1,wCa,---,34.88
64,b,4,3,5,3,bAd,---,0
65,w,6,9,8,9,wWe,---,35.43
66,b,5,3,5,2,bAd,---,0
67,w,1,7,1,6,wpW,---,37.16
68,b,6,2,5,1,bKa,---,0
69,w,4,1,5,4,wCa,bpK,38.58
70,b,5,1,6,2,bKa,---,0
71,w,0,8,1,8,wRk,---,39.99
72,b,6,2,5,3,bKa,---,0
73,w,6,7,6,6,wpV,---,37.08
74,b,5,3,5,4,bKa,wCa,0
75,w,1,6,0,5,wpW,bpR,39.47
76,b,5,2,5,3,bAd,---,0
77,w,1,8,1,4,wRk,---,inf
